alebris_adj	positive
inhonestus_adj	negative
abiectus_adj	negative
persuasibilis_adj	positive
facinorosus_adj	negative
spiritalis_adj	neutral
iacinthinus_adj	neutral
squamosus_adj	neutral
hebes_adj	negative
immoderatus_adj	negative
suppositicius_adj	neutral
interritus_adj	positive
spirabilis_adj	neutral
indiligens_adj	negative
sospes_adj	positive
uictoriosus_adj	positive
necopmus_adj	negative
praedulcis_adj	positive
temperans_adj	positive
nitidus_adj	positive
permitialis_adj	negative
insuauis_adj	negative
naufragus_adj	negative
artutus_adj	positive
mundus_adj	positive
confusus_adj	negative
indubius_adj	positive
philologus_adj	neutral
pompatus_adj	positive
indispositus_adj	negative
noxalis_adj	negative
pote_adj	neutral
dubitabilis_adj	negative
ceruicosus_adj	negative
adrogans_adj	negative
illegalis_adj	negative
uaciuus_adj	neutral
prouectus_adj	neutral
squalidus_adj	negative
radioactiuus_adj	negative
inopinatus_adj	negative
gemellus_adj	neutral
unanimis_adj	positive
dissonus_adj	negative
ueternosus_adj	negative
immedicabilis_adj	negative
indecoris_adj	negative
sanguinans_adj	negative
languidulus_adj	negative
adcuratus_adj	positive
percautus_adj	positive
pompaticus_adj	positive
uastus_adj	negative
canceratus_adj	negative
funebris_adj	negative
onustus_adj	negative
acosmon_adj	negative
monstruosus_adj	negative
pallidulus_adj	negative
peraccommodatus_adj	positive
concupiens_adj	negative
circumtonsus_adj	neutral
stridulus_adj	neutral
saluus_adj	positive
inclinatus_adj	neutral
durateus_adj	neutral
uigens_adj	positive
inscrutabilis_adj	neutral
petulans_adj	negative
strenuus_adj	positive
scelestus_adj	negative
crisimus_adj	neutral
interfusus_adj	neutral
indeficiens_adj	neutral
hagios_adj	positive
ligneolus_adj	neutral
properatus_adj	neutral
insomnis_adj	negative
intractabilis_adj	neutral
suspiriosus_adj	negative
praerapidus_adj	positive
offirmatus_adj	positive
repositus_adj	neutral
cooperatiuus_adj	positive
consonus_adj	positive
subditicius_adj	negative
gratuitus_adj	positive
radicalis_adj	neutral
prophylacticus_adj	positive
misellus_adj	negative
exsequialis_adj	negative
meritus_adj	positive
sacer_adj	positive
ebriacus_adj	negative
specularis_adj	neutral
brunneus_adj	neutral
arenosus_adj	neutral
grossus_adj	negative
causticus_adj	negative
peccatorius_adj	negative
formidabilis_adj	negative
inuoluntarius_adj	neutral
musteus_adj	neutral
comis_adj	positive
jucundus_adj	positive
luculentus_adj	positive
genitalis_adj	neutral
aenus_adj	neutral
insufficiens_adj	negative
effluxus_adj	neutral
aequiparabilis_adj	neutral
summorosus_adj	negative
camurus_adj	neutral
creper_adj	negative
triuialis_adj	neutral
spurcatus_adj	negative
conclamatus_adj	positive
exanimalis_adj	negative
incongruus_adj	negative
aspernabilis_adj	negative
trimus_adj	neutral
superans_adj	positive
chalceus_adj	neutral
pluuiosus_adj	neutral
semotus_adj	neutral
iocularius_adj	positive
singularis_adj	neutral
columis_adj	positive
cicinus_adj	neutral
potens_adj	positive
dejunctus_adj	neutral
optumus_adj	positive
hiulcus_adj	negative
inusitatus_adj	negative
innoxius_adj	positive
corporatus_adj	neutral
moratus_adj	positive
ursinus_adj	neutral
maerens_adj	negative
harenosus_adj	neutral
modificatus_adj	neutral
consucidus_adj	neutral
oleosus_adj	neutral
improbulus_adj	negative
albidus_adj	negative
praecipuus_adj	neutral
obesus_adj	negative
inexcusabilis_adj	negative
leuigatus_adj	neutral
improportionabilis_adj	negative
inuictus_adj	positive
uisibilis_adj	neutral
marmus_adj	neutral
